,fips_code,blue_percentage
1776,17055.0,0.2526321415210304
1779,17057.0,0.38823827308982717
1782,17059.0,0.2427041004802364
1785,17061.0,0.21575649059982094
1788,17063.0,0.34707578430950636
1791,17065.0,0.19251080172827653
1794,17067.0,0.23451375945619998
1797,17069.0,0.19553072625698323
1800,17071.0,0.32831154064809553
1803,17073.0,0.3599805218520472
1806,17075.0,0.19167176974892836
1809,17077.0,0.4726002356095381
1812,17079.0,0.17990654205607476
1815,17081.0,0.2603094299664686
1818,17083.0,0.2437448821763261
1821,17085.0,0.393682724545615
1824,17087.0,0.18755132205616687
1827,17089.0,0.5201089737800656
1830,17091.0,0.4010358313074728
1833,17093.0,0.4655827268134788
1836,17095.0,0.4533111540709437
1839,17097.0,0.5637025566684238
1842,17099.0,0.39287940011659933
1845,17101.0,0.21168362323596981
1848,17103.0,0.3568984440570728
1851,17105.0,0.2634750147357391
1854,17107.0,0.2671558745262479
1857,17109.0,0.4039107852123434
1860,17111.0,0.4289453262786596
1863,17113.0,0.4533851067827394
1866,17115.0,0.38166874739908446
1869,17117.0,0.29915026833631486
1872,17119.0,0.3885957028399358
1875,17121.0,0.25588614267307014
1878,17123.0,0.2989639037433155
1881,17125.0,0.3105149552883133
1884,17127.0,0.2331288343558282
1887,17129.0,0.27889485801995395
1890,17131.0,0.36023460410557184
1893,17133.0,0.2859873927870208
1896,17135.0,0.26999537679149327
1899,17137.0,0.3172972972972973
1902,17139.0,0.23571542256883654
1905,17141.0,0.33274087545984377
1908,17143.0,0.48482223609288816
1911,17145.0,0.24987313508576067
1914,17147.0,0.2936278863232682
1917,17149.0,0.18764940239043826
1920,17151.0,0.17507002801120447
1923,17153.0,0.3517367458866545
1926,17155.0,0.36869173899067825
1929,17157.0,0.24228547273495843
1932,17159.0,0.20614263404476835
1935,17161.0,0.5047035659593087
1938,17163.0,0.5038646541715044
1941,17165.0,0.22593113141250878
1944,17167.0,0.4158356459597654
1947,17169.0,0.28082549634273773
1950,17171.0,0.20513803680981596
1953,17173.0,0.20781108083560398
1956,17175.0,0.27378782355085673
1959,17177.0,0.38185125104458534
1962,17179.0,0.32119565217391305
1965,17181.0,0.28136347663113503
1968,17183.0,0.32839385017991496
1971,17185.0,0.2106515373352855
1974,17187.0,0.3826053541693352
1977,17189.0,0.19496431937525247
1980,17191.0,0.1268611548238712
1983,17193.0,0.19250170415814588
1986,17195.0,0.4313579860839653
1989,17197.0,0.5049018956211948
1992,17199.0,0.26940223533844027
1995,17201.0,0.47064438737581943
1998,17203.0,0.2563431333064841
2001,18001.0,0.21428571428571427
2004,18003.0,0.3763975070852335
2007,18005.0,0.30289319790704833
2010,18007.0,0.23458810692853246
2013,18009.0,0.2568712543914032
2016,18011.0,0.3163962956056933
2019,18013.0,0.3169288860918817
2022,18015.0,0.21890547263681592
2025,18017.0,0.2645506369202618
2028,18019.0,0.36772440221322855
2031,18021.0,0.20439638361992554
2034,18023.0,0.23617627345844505
2037,18025.0,0.2880470280862182
2040,18027.0,0.16716196136701336
2043,18029.0,0.20356859965814816
